"Date","Temp"
"1990-10-01",11.3
"1990-10-02",10.5
"1990-10-03",9.9
"1990-10-04",11.0
"1990-10-05",14.0
"1990-10-06",9.2
"1990-10-07",9.8
"1990-10-08",6.0
"1990-10-09",9.8
"1990-10-10",9.2
"1990-10-11",11.8
"1990-10-12",10.3
"1990-10-13",7.5
"1990-10-14",7.7
"1990-10-15",15.8
"1990-10-16",14.6
"1990-10-17",10.5
"1990-10-18",11.3
"1990-10-19",10.9
"1990-10-20",6.4
"1990-10-21",10.9
"1990-10-22",9.0
"1990-10-23",10.9
"1990-10-24",12.4
"1990-10-25",11.6
"1990-10-26",13.3
"1990-10-27",14.4
"1990-10-28",18.4
"1990-10-29",13.6
"1990-10-30",14.9
"1990-10-31",14.8
"1990-11-01",15.4
"1990-11-02",11.8
"1990-11-03",13.0
"1990-11-04",11.1
"1990-11-05",12.5
"1990-11-06",18.3
"1990-11-07",19.2
"1990-11-08",15.4
"1990-11-09",13.1
"1990-11-10",11.5
"1990-11-11",8.6
"1990-11-12",12.6
"1990-11-13",13.8
"1990-11-14",14.6
"1990-11-15",13.2
"1990-11-16",12.3
"1990-11-17",8.8
"1990-11-18",10.7
"1990-11-19",9.9
"1990-11-20",8.3
"1990-11-21",15.0
"1990-11-22",12.2
"1990-11-23",10.5
"1990-11-24",11.1
"1990-11-25",13.0
"1990-11-26",12.9
"1990-11-27",8.8
"1990-11-28",14.7
"1990-11-29",14.7
"1990-11-30",12.7
"1990-12-01",13.3
"1990-12-02",13.2
"1990-12-03",16.2
"1990-12-04",17.3
"1990-12-05",20.5
"1990-12-06",20.2
"1990-12-07",19.4
"1990-12-08",15.5
"1990-12-09",14.1
"1990-12-10",11.0
"1990-12-11",11.1
"1990-12-12",14.0
"1990-12-13",11.4
"1990-12-14",12.5
"1990-12-15",13.4
"1990-12-16",13.6
"1990-12-17",13.9
"1990-12-18",17.2
"1990-12-19",14.7
"1990-12-20",15.4
"1990-12-21",13.1
"1990-12-22",13.2
"1990-12-23",13.9
"1990-12-24",10.0
"1990-12-25",12.9
"1990-12-26",14.6
"1990-12-27",14.0
"1990-12-28",13.6
"1990-12-29",13.5
"1990-12-30",15.7
"1990-12-31",13.0